"ID";"Timestamp";"Q2_1";"Q2_2";"Q2_3";"Q3_1";"Q4_1";"Q4_2_1";"Q4_2_2";"Q4_2_3";"Q4_2_4";"Q5_1";"Q5_2";"Q5_4";"Q5_5";"Q5_6";"Q5_7_1";"Q5_7_2";"Q5_7_3";"Q5_7_4";"Q5_7_5";"Q5_7_6";"Q5_7_7";"Q5_7_8";"Q5_7_9";"Q5_7_10";"Q6_1_1";"Q6_1_2";"Q6_1_3";"Q6_1_4";"Q6_1_5";"Q6_3";"Q6_4";"Q6_5";"Q7_1";"Q7_2";"Q7_3";"Q7_4";"Q7_5";"Q7_6";"Q7_7";"Q7_9";"Q7_10";"Q8_1";"Q9_1_1";"Q9_1_2";"Q9_1_3";"Q9_1_4";"Q9_1_5";"Q9_1_6"
1;2018-01-23 22:05:14;"male";26;1;"Yes, parallel to the lectures.";"No";NA;NA;NA;NA;"a few";"Yes";"I usually watched lecture recordings completely.";"Yes";"a few";TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;"always alone";"at home";"Laptop";4;1;4;3;4;3;"No";NA;NA;"eher zufrieden";NA;NA;NA;NA;NA;NA
2;2018-01-24 15:56:46;"male";23;9;"Yes, I solely used the lecture recordings.";"Yes";TRUE;FALSE;TRUE;FALSE;"almost all";"Yes";"I usually watched lecture recordings completely.";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;TRUE;TRUE;FALSE;FALSE;"always alone";"at home";"Laptop";5;2;4;4;4;4;"Yes";"macOS 10.13: High Sierra";"Google Chrome / Chromium";"sehr zufrieden";NA;NA;NA;NA;NA;NA
3;2018-01-24 16:20:48;"male";26;4;"No.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
4;2018-01-24 16:42:18;"male";27;3;"Yes, I solely used the lecture recordings.";"No";NA;NA;NA;NA;"a few";"No";"I usually only watch parts of a lecture recording.";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;TRUE;TRUE;FALSE;FALSE;"always alone";"at home";"Laptop";4;4;5;5;3;4;"No";NA;NA;"eher zufrieden";NA;NA;NA;NA;NA;NA
5;2018-01-24 16:44:05;"male";26;1;"Yes, parallel to the lectures.";"Yes";TRUE;FALSE;FALSE;FALSE;"about half";"No";"I usually only watch parts of a lecture recording.";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;FALSE;TRUE;FALSE;FALSE;"always alone";"at home";"Laptop";5;3;5;3;5;5;"No";NA;NA;"eher zufrieden";NA;NA;NA;NA;NA;NA
6;2018-01-24 17:04:55;"female";22;1;"Yes, parallel to the lectures.";"Yes";TRUE;FALSE;FALSE;FALSE;"a few";"Yes";"I usually watched lecture recordings completely.";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;FALSE;TRUE;FALSE;FALSE;"always alone";"at home";"Laptop";5;4;5;5;4;4;"No";NA;NA;"sehr zufrieden";NA;NA;NA;NA;NA;NA
7;2018-01-24 17:27:18;"no answer";29;3;"Yes, parallel to the lectures.";"No";NA;NA;NA;NA;"almost all";"Yes";"I usually only watch parts of a lecture recording.";"Yes";"about half";TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;"always alone";"at home";"Computer";5;5;5;5;4;3;"No";NA;NA;"eher zufrieden";NA;NA;NA;NA;NA;NA
8;2018-01-24 17:37:16;"female";24;2;"Yes, I solely used the lecture recordings.";"No";NA;NA;NA;NA;"almost all";"Yes";"I usually watched lecture recordings completely.";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;TRUE;FALSE;FALSE;FALSE;"always alone";"at home";"Laptop";5;5;5;3;4;4;"No";NA;NA;"eher zufrieden";NA;NA;NA;NA;NA;NA
9;2018-01-25 10:30:35;"female";25;3;"No.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
10;2018-01-25 14:09:24;"male";23;1;"Yes, parallel to the lectures.";"No";NA;NA;NA;NA;"almost all";"Yes";"I usually watched lecture recordings completely.";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;TRUE;TRUE;FALSE;FALSE;"always alone";"at home";"Laptop";2;5;5;5;3;5;"No";NA;NA;"sehr zufrieden";NA;NA;NA;NA;NA;NA
11;2018-01-27 17:17:31;"male";24;9;"Yes, parallel to the lectures.";"Yes";TRUE;FALSE;FALSE;FALSE;"almost all";"Yes";"I usually watched lecture recordings completely.";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;TRUE;TRUE;FALSE;FALSE;"always alone";"at home";"Laptop";5;5;4;2;3;4;"Yes";"Linux";"Firefox";"eher zufrieden";NA;NA;NA;NA;NA;NA
12;2018-01-27 23:06:59;"male";23;1;"Yes, parallel to the lectures.";"Yes";TRUE;FALSE;FALSE;FALSE;"about half";"No";"I usually watched lecture recordings completely.";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;TRUE;TRUE;FALSE;FALSE;"always alone";"at home";"Computer";5;5;4;4;4;5;"No";NA;NA;"sehr zufrieden";NA;NA;NA;NA;NA;NA
13;2018-01-28 02:05:12;"male";22;5;"Yes, parallel to the lectures.";"No";NA;NA;NA;NA;"a few";"Yes";"I usually only watch parts of a lecture recording.";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;TRUE;TRUE;FALSE;FALSE;"always alone";"at home";"Computer";5;5;4;3;3;4;"No";NA;NA;"eher zufrieden";NA;NA;NA;NA;NA;NA
14;2018-01-28 18:04:55;"female";25;1;"Yes, parallel to the lectures.";"No";NA;NA;NA;NA;"a few";"No";"I usually only watch parts of a lecture recording.";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;FALSE;TRUE;FALSE;FALSE;"always alone";"at home";"Tablet";5;5;5;1;5;4;"No";NA;NA;"neutral";NA;NA;NA;NA;NA;NA
15;2018-01-31 13:07:08;"male";24;1;"Yes, parallel to the lectures.";"Yes";FALSE;TRUE;FALSE;FALSE;"most";"Yes";"I usually only watch parts of a lecture recording.";"Yes";"a few";TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;"always alone";"at home";"Laptop";4;5;5;4;5;1;"No";NA;NA;"eher zufrieden";NA;NA;NA;NA;NA;NA
16;2018-01-31 13:43:34;"female";25;1;"Yes, parallel to the lectures.";"No";NA;NA;NA;NA;"a few";"No";"I usually watched lecture recordings completely.";"Yes";"a few";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;"always alone";"at home";"Laptop";4;3;5;5;3;2;"Yes";"Windows 10";"Firefox";"eher unzufrieden";NA;NA;NA;NA;NA;NA
